YEAR,AREA,GEAR,MONTH,SEX,LENGTH,FREQ,QUARTER,SOURCE
1997,610,91,9,1,65,2,3,ELMEJJATI
1997,610,91,9,2,65,2,3,ELMEJJATI
1997,610,91,9,1,66,3,3,ELMEJJATI
1997,610,91,9,1,68,4,3,ELMEJJATI
1997,610,91,9,1,69,1,3,ELMEJJATI
1997,610,91,9,1,70,1,3,ELMEJJATI
1997,610,91,9,2,70,3,3,ELMEJJATI
1997,610,91,9,1,71,1,3,ELMEJJATI
1997,610,91,9,2,73,1,3,ELMEJJATI
1997,610,91,9,2,74,2,3,ELMEJJATI
1997,610,91,9,1,80,1,3,ELMEJJATI
1997,610,91,9,2,86,1,3,ELMEJJATI
1997,610,91,9,2,100,2,3,ELMEJJATI
1997,610,91,10,1,57,2,4,ELMEJJATI
1997,610,91,10,1,58,2,4,ELMEJJATI
1997,610,91,10,1,60,1,4,ELMEJJATI
1997,610,91,10,2,60,2,4,ELMEJJATI
1997,610,91,10,1,61,1,4,ELMEJJATI
1997,610,91,10,2,61,1,4,ELMEJJATI
1997,610,91,10,2,62,3,4,ELMEJJATI
1997,610,91,10,2,63,1,4,ELMEJJATI
1997,610,91,10,3,63,3,4,ELMEJJATI
1997,610,91,10,2,64,1,4,ELMEJJATI
1997,610,91,10,2,65,1,4,ELMEJJATI
1997,610,91,10,1,66,1,4,ELMEJJATI
1997,610,91,10,2,67,3,4,ELMEJJATI
1997,610,91,10,3,67,2,4,ELMEJJATI
1997,610,91,10,2,68,1,4,ELMEJJATI
1997,610,91,10,1,69,2,4,ELMEJJATI
1997,610,91,10,2,69,3,4,ELMEJJATI
1997,610,91,10,1,70,1,4,ELMEJJATI
1997,610,91,10,2,70,1,4,ELMEJJATI
1997,610,91,10,1,71,1,4,ELMEJJATI
1997,610,91,10,2,71,1,4,ELMEJJATI
1997,610,91,10,1,72,1,4,ELMEJJATI
1997,610,91,10,2,78,2,4,ELMEJJATI
1997,610,91,10,1,79,1,4,ELMEJJATI
1997,610,91,10,2,79,1,4,ELMEJJATI
1997,610,91,10,2,81,1,4,ELMEJJATI
